sample_idx,is_outlier,iforest_score
0,0,0.0012257507540559542
1,0,0.1560534104910255
2,0,0.04639443681288652
3,0,0.14867146003451465
4,0,0.02155016901354201
5,0,0.14604872270689234
6,0,0.0933347362265386
7,0,0.155480884362437
8,0,0.13399976010152526
9,0,0.15768236877767677
10,0,0.16953163989870274
11,0,0.16749056462855755
12,0,0.1752919792068155
13,0,0.1738980307274562
14,0,0.15925616138377968
15,0,0.16519690980177631
16,0,0.17001725596477107
17,0,0.133280011697969
18,0,0.16117235310019862
19,0,0.1563445230399228
20,0,0.12281888295095339
21,0,0.14875417198524404
22,0,0.16532867734757734
23,0,0.1653173660298014
24,0,0.07624433412665804
25,0,0.0008335928032310314
26,0,0.09807120517799872
27,0,0.10069897299512859
28,0,0.1737716430532928
29,0,0.1347569480499774
30,0,0.12528449615990517
31,0,0.08886978115091698
32,0,0.1679289670214142
33,0,0.1572106453268246
34,0,0.13452878108075744
35,0,0.17605979230435936
36,0,0.15521459153299838
37,0,0.14456782045720062
38,0,0.12222078869416192
39,0,0.16275285188573207
40,0,0.13804540465815873
41,0,0.16518667246375085
42,0,0.1771259490133626
43,0,0.09662614259614927
44,0,0.16129929861217357
45,0,0.07693489190124064
46,0,0.14608515654726179
47,0,0.041477329457301426
48,0,0.1312106957810999
49,0,0.09294721249153293
50,0,0.06503143331447736
51,0,0.013258904458024579
52,0,0.1463871598410436
53,0,0.14421349669876593
54,0,0.06890599959860771
55,0,0.1618896503660871
56,0,0.01729181402848906
57,0,0.045911480246928094
58,0,0.01453785440030575
59,0,0.13371329206666555
60,0,0.05738023978117185
61,0,0.12485043586929145
62,0,0.1748267067135919
63,0,0.12761241885712415
64,0,0.1076107743875051
65,0,0.17396098666383708
66,0,0.1322852788624973
67,0,0.16001861861817396
68,0,0.1476293722237111
69,0,0.17860754958161018
70,0,0.16502662977990273
71,0,0.15378906639921597
72,0,0.17674256615125178
73,0,0.1768047333035171
74,0,0.14322958317470535
75,0,0.1597604655271873
76,0,0.16421030727250496
77,0,0.14432501050181495
78,0,0.016638312608026784
79,0,0.16938891196768352
80,0,0.1719120193603917
81,0,0.16013476137131227
82,0,0.16899061474776167
83,0,0.17273631697728498
84,0,0.1529393842337889
85,0,0.1702446916115989
86,0,0.16762299528348173
87,0,0.16755539765106098
88,0,0.17114505711054384
89,0,0.1756435389872053
90,0,0.1734716696427308
91,0,0.1555394126694814
92,0,0.1592182853480783
93,0,0.1685590852628518
94,0,0.08666844138360713
95,0,0.11642491425800305
96,0,0.039882281456515456
97,0,0.13397918210516807
98,0,0.15509477371856478
99,0,0.16414443841753296
100,0,0.0008024986331424122
101,0,0.13810789596770662
102,0,0.16036150663163445
103,0,0.14463448325782557
104,0,0.1684288143142879
105,0,0.15123215197544732
106,0,0.17741096407222395
107,0,0.16262807159189974
108,0,0.1272612632742055
109,0,0.173840791143747
110,0,0.18198314878957278
111,0,0.17241966619278593
112,0,0.16412392174503682
