model,batch_size,lr,weight_decay,proj_dim,hidden_dim,num_layers,dropout,best_epoch,best_val_rmse,test_loss,test_mae,test_rmse,test_corr
cross_attn,32,0.001,1e-05,64,256,2,0.2,6,0.7767605781555176,0.6260120435480463,0.5975160598754883,0.7912092208862305,0.706472635269165
cross_attn,32,0.001,1e-05,64,128,2,0.3,5,0.7784310579299927,0.6539745560409744,0.6116193532943726,0.8086869120597839,0.6926116347312927
cross_attn,32,0.0005,1e-05,64,128,2,0.2,8,0.7794393301010132,0.6272955588256648,0.602506697177887,0.7920199036598206,0.7009042501449585
cross_attn,32,0.001,1e-05,64,256,2,0.3,6,0.7801471948623657,0.6430777897358249,0.604875385761261,0.8019213080406189,0.6967452764511108
cross_attn,32,0.0005,1e-05,64,128,1,0.1,10,0.7824028134346008,0.661062460642243,0.6118857264518738,0.8130574822425842,0.684232234954834
cross_attn,32,0.001,1e-05,64,128,1,0.2,7,0.7829951047897339,0.6365441159328561,0.5999886989593506,0.7978371381759644,0.6993515491485596
cross_attn,32,0.0005,1e-05,64,128,1,0.2,7,0.783754289150238,0.6510965002782124,0.6072689294815063,0.8069055080413818,0.694722592830658
cross_attn,32,0.0005,1e-05,64,128,2,0.3,8,0.7838672995567322,0.6267141097004805,0.5978550314903259,0.7916527986526489,0.6998662352561951
cross_attn,32,0.001,1e-05,64,128,1,0.3,7,0.7850855588912964,0.6349487184913359,0.6029253005981445,0.7968366742134094,0.7033012509346008
cross_attn,32,0.001,1e-05,64,128,2,0.2,5,0.7854012846946716,0.6490603588969189,0.6113783717155457,0.80564284324646,0.6920478343963623
cross_attn,32,0.001,1e-05,64,256,1,0.3,7,0.7862390875816345,0.6391968642384128,0.6055997610092163,0.7994979023933411,0.6943366527557373
cross_attn,32,0.001,1e-05,64,256,1,0.2,9,0.78694087266922,0.6600702045653468,0.6074911952018738,0.8124470710754395,0.6830766201019287
cross_attn,32,0.0005,1e-05,64,256,1,0.2,6,0.7876314520835876,0.6371573514011999,0.6043944954872131,0.7982214093208313,0.6948290467262268
cross_attn,32,0.0005,1e-05,64,128,2,0.1,10,0.7876490950584412,0.6619738803684211,0.6124129891395569,0.8136177659034729,0.6891370415687561
cross_attn,32,0.0005,1e-05,64,256,2,0.2,6,0.7882550954818726,0.6344566743691729,0.6003592014312744,0.7965279221534729,0.7042208313941956
cross_attn,32,0.001,1e-05,64,128,2,0.1,5,0.7887738347053528,0.668838692037499,0.6244657039642334,0.8178255558013916,0.6925439238548279
cross_attn,32,0.001,1e-05,64,256,1,0.1,5,0.7893845438957214,0.6319909592448137,0.6008698344230652,0.7949786186218262,0.7018599510192871
cross_attn,32,0.001,1e-05,64,256,2,0.1,6,0.7898557782173157,0.6416530880195274,0.6029943227767944,0.801032543182373,0.6955037117004395
cross_attn,32,0.0005,1e-05,64,256,2,0.1,6,0.7903377413749695,0.6203688417635369,0.5916919112205505,0.7876349687576294,0.7068207263946533
cross_attn,32,0.0005,1e-05,64,256,1,0.3,5,0.7910822629928589,0.6456271929523181,0.6106157302856445,0.8035092949867249,0.6905253529548645
cross_attn,32,0.0005,1e-05,64,256,1,0.1,5,0.7911778092384338,0.6429831358396927,0.6091952919960022,0.8018622994422913,0.6951164603233337
cross_attn,32,0.0005,1e-05,64,128,1,0.3,10,0.7933700680732727,0.650243058226218,0.6072254776954651,0.8063765168190002,0.6946898698806763
cross_attn,32,0.001,1e-05,64,128,1,0.1,7,0.793788492679596,0.6457302225109782,0.6070751547813416,0.8035734295845032,0.6957088708877563
cross_attn,32,0.0005,1e-05,64,256,2,0.3,6,0.7972673773765564,0.6513708079782972,0.6113168001174927,0.8070755004882812,0.6959304809570312
